site_no,date,time,discharge_cfs
12045500,4/3/2025,0:45,1740
12045500,4/3/2025,1:00,1740
12045500,4/3/2025,1:15,1740
12045500,4/3/2025,1:30,1750
12045500,4/3/2025,1:45,1730
12045500,4/3/2025,2:00,1740
12045500,4/3/2025,2:15,1720
12045500,4/3/2025,2:30,1740
12045500,4/3/2025,2:45,1740
12045500,4/3/2025,3:00,1730
12045500,4/3/2025,3:15,1730
12045500,4/3/2025,3:30,1740
12045500,4/3/2025,3:45,1730
12045500,4/3/2025,4:00,1730
12045500,4/3/2025,4:15,1720
12045500,4/3/2025,4:30,1720
12045500,4/3/2025,4:45,1710
12045500,4/3/2025,5:00,1720
12045500,4/3/2025,5:15,1720
12045500,4/3/2025,5:30,1730
12045500,4/3/2025,5:45,1700
12045500,4/3/2025,6:00,1710
12045500,4/3/2025,6:15,1730
12045500,4/3/2025,6:30,1700
12045500,4/3/2025,6:45,1710
12045500,4/3/2025,7:00,1710
12045500,4/3/2025,7:15,1710
12045500,4/3/2025,7:30,1700
12045500,4/3/2025,7:45,1700
12045500,4/3/2025,8:00,1700
12045500,4/3/2025,8:15,1710
12045500,4/3/2025,8:30,1700
12045500,4/3/2025,8:45,1690
12045500,4/3/2025,9:00,1690
